formula,AN1,AN2,AND,ANd,Rc1,Rc2,RcD,Rcd,Vmc,Rm1,Rm2,RmD,Rmd,Vmm,AW1,AW2,AWD,AWd,D1,D2,DD,Dd,Eea1,Eea2,EeaD,Eead,XM1,XM2,XMD,XMd,XP1,XP2,XPD,XPd,Gp1,Gp2,GpD,Gpd,Hf1,Hf2,HfD,Hfd,I11,I12,I1D,I1d,I21,I22,I2D,I2d,LP1,LP2,LPD,LPd,Tm1,Tm2,TmD,Tmd,P1,P2,PD,Pd,Cp1,Cp2,CpD,Cpd,K1,K2,KD,Kd,VEC1,VEC2,VECD,VECd,sVEC1,pVEC1,dVEC1,fs,fp,fd,W1,W2,WD,Wd,Hmix,Smix/R,Smix/kb,PHSmis,PHSmix,PHSS,t1,t2,deltaT,alpha,t1_1,t2_1,deltaT_1,alpha_1
Mn3Cu0.6Si0.15Ge0.25N,25.625,25.12303364,3.099899192,0.120971676,0.1357125,0.135304847,0.006964542,0.051318352,0.01054945,0.13249375,0.132300766,0.004859073,0.036673975,0.009780935,56.32799625,54.92092973,7.469010936,0.132598555,7.2388375,6.787472418,1.257489835,0.173714334,-0.0604125,-0.76865547,0.761890112,12.61146471,1.705625,1.700385349,0.097913785,0.057406397,1.644375,1.629594198,0.165188103,0.100456467,8.3,7.817258883,2.368543856,0.28536673,15.199375,13.12875419,9.19430902,0.604913624,7.5337875,7.529254883,0.188886917,0.025071973,16.38254651,16.24349522,1.649024771,0.100657414,246.3682875,58.13519166,127.9468289,0.519331567,1482.008625,1474.942726,97.4926809,0.065784152,3.9625,3.950617284,0.189983552,0.047945376,25.5994625,25.49763365,1.486727782,0.058076523,75.30875,10.24813005,139.7864697,1.856178328,7.3,6.859688196,1.791647287,0.245431135,1.85,0.2,5.25,0.253424658,0.02739726,0.719178082,4.124375,4.090740065,0.393858616,0.095495346,-10.1634375,0.796744385,0.027992061,-8.097661762,-0.284495566,-0.226670245,79.41,199.67,120.26,-9.88,,,,
Mn3AgN,25,25,0,0,0.139,0.139,0,0,0.011249495,0.135,0.135,0,0,0.010305995,54.938045,54.938045,0,0,7.3,7.3,0,0,-0.5,-0.5,0,0,1.65,1.65,0,0,1.55,1.55,0,0,7,7,0,0,12.05,12.05,0,0,7.434,7.434,0,0,15.63973675,15.63973675,0,0,320.085,320.085,0,0,1519.15,1519.15,0,0,4,4,0,0,26.32,26.32,0,0,7.82,7.82,0,0,7,7,0,0,2,0,5,0.285714286,0,0.714285714,3.9,3.9,0,0,0,0,0,0,0,0,270.1,288.7,18.6,-22.43,,,,
Mn3Ag0.98Nb0.02N,30.47,28.30077838,9.483622726,0.311244592,0.140595,0.140531815,0.003066101,0.021808037,0.011658166,0.137367,0.137248638,0.004101294,0.029856471,0.01088702,68.09621375,62.59070969,22.81467574,0.335035892,8.09035,7.895371177,1.375576744,0.170026852,-0.050935,-0.765307683,0.77827501,15.27976852,1.6939,1.690528973,0.077580861,0.045800142,1.64335,1.628826388,0.163328741,0.099387678,7.97,7.66779526,1.73179098,0.217288705,11.938,11.88898441,1.074653898,0.090019593,7.465415,7.464550905,0.078939235,0.010573991,17.05757372,16.74366607,2.506268405,0.146929947,244.566505,61.63862565,130.8018719,0.534831505,1455.6711,1441.115251,152.7697002,0.104947952,4.25,4.210526316,0.433012702,0.101885342,26.07375,26.06652011,0.429736474,0.016481575,111.2385,10.35495396,181.0423262,1.62751499,7.97,7.66779526,1.73179098,0.217288705,1.75,0,6.22,0.2195734,0,0.7804266,4.0828,4.060091092,0.318113439,0.077915509,9.5734,0.586844923,0.018552218,5.618101185,0.177607804,0.104228238,267.6,287.3,19.7,-14.1,,,,
Mn3Ag0.96Nb0.04N,30.44,28.28831474,9.440677942,0.310140537,0.14069,0.140610756,0.003468991,0.024656985,0.011686698,0.137359,0.137241341,0.004088914,0.029768083,0.010884945,68.02139375,62.56147556,22.70840567,0.333842111,8.0807,7.888691819,1.365370466,0.168966855,-0.05287,-0.766256636,0.77537958,14.66577605,1.6928,1.689462655,0.077202073,0.045606139,1.6417,1.627410013,0.162086736,0.098731032,7.94,7.635858786,1.731011265,0.218011494,12.0135,11.92486526,1.480841906,0.123264819,7.46133,7.460108497,0.092998285,0.012464036,17.02181687,16.71106108,2.494273546,0.14653392,244.56801,61.65597879,130.7992668,0.534817562,1463.2472,1445.763001,177.245392,0.121131544,4.25,4.210526316,0.433012702,0.101885342,26.07,26.06243489,0.439203825,0.016847097,109.362,10.34622732,179.678864,1.642973464,7.94,7.635858786,1.731011265,0.218011494,1.75,0,6.19,0.220403023,0,0.779596977,4.0806,4.058231028,0.315765166,0.077382043,9.3936,0.604321182,0.018442536,5.676751451,0.173241809,0.104693694,266.4,287.5,20.9,-20,,,,
Mn3Ag0.94Nb0.06N,30.41,28.27586207,9.397441141,0.3090247,0.140785,0.140689786,0.003827372,0.027185935,0.011715231,0.137351,0.137234044,0.004076481,0.029679298,0.010882869,67.94657375,62.53226873,22.60138825,0.332634701,8.07105,7.882023752,1.355018597,0.167886285,-0.054805,-0.767207944,0.77246845,14.09485358,1.6917,1.688397681,0.076805664,0.045401468,1.64005,1.625996098,0.160818213,0.098056896,7.91,7.604187241,1.729710959,0.218673952,12.089,11.96096335,1.794297634,0.148423992,7.457245,7.455671373,0.105036113,0.01408511,16.98606001,16.67858283,2.481705588,0.146102486,244.569515,61.6733417,130.7966617,0.534803619,1470.8233,1450.440827,198.4401221,0.134917717,4.25,4.210526316,0.433012702,0.101885342,26.06625,26.05835094,0.448440004,0.017203856,107.4855,10.33751538,178.2852264,1.658690952,7.91,7.604187241,1.729710959,0.218673952,1.75,0,6.16,0.221238938,0,0.778761062,4.0784,4.056372667,0.313383854,0.076839901,9.2106,0.619077025,0.018332688,5.702070849,0.168855052,0.104534283,266.3,284.9,18.6,-24,,,,
Mn3Ag0.92Nb0.08N,30.38,28.26342036,9.353908274,0.307896915,0.14088,0.140768905,0.004152782,0.029477443,0.011743763,0.137343,0.137226748,0.004063994,0.02959011,0.010880793,67.87175375,62.50308916,22.49361283,0.331413461,8.0614,7.875366949,1.344517772,0.166784649,-0.05674,-0.768161618,0.769541443,13.56259152,1.6906,1.687334048,0.076391361,0.045185946,1.6384,1.624584639,0.159522538,0.09736483,7.88,7.572777341,1.727888885,0.219275239,12.1645,11.99728065,2.057842256,0.169167845,7.45316,7.451239524,0.115685411,0.015521659,16.95030316,16.64623058,2.468555777,0.145634904,244.57102,61.6907144,130.7940564,0.534789675,1478.3994,1455.149023,217.3159924,0.146994102,4.25,4.210526316,0.433012702,0.101885342,26.0625,26.05426827,0.457459015,0.017552384,105.609,10.32881809,176.8607,1.674674507,7.88,7.572777341,1.727888885,0.219275239,1.75,0,6.13,0.222081218,0,0.777918782,4.0762,4.054516007,0.310968744,0.076288883,9.0244,0.632027488,0.018222672,5.703668859,0.164448681,0.103936086,266.3,287.3,21,-21.5,,,,
Mn3Ag0.9Nb0.1N,30.35,28.25098959,9.310075188,0.306757008,0.140975,0.140848113,0.004452457,0.03158331,0.011772295,0.137335,0.137219452,0.004051453,0.029500517,0.010878717,67.79693375,62.47393681,22.38506843,0.330178184,8.05175,7.86872138,1.333864475,0.165661437,-0.058675,-0.769117665,0.766598376,13.06516192,1.6895,1.686271755,0.07595887,0.044959379,1.63675,1.623175627,0.158199044,0.096654372,7.85,7.541625857,1.725543393,0.219814445,12.24,12.03381917,2.288782427,0.186992028,7.449075,7.446812941,0.125300716,0.016820977,16.91454631,16.61400359,2.454814762,0.145130394,244.572525,61.70809688,130.7914511,0.534775732,1485.9755,1459.887883,234.4337954,0.15776424,4.25,4.210526316,0.433012702,0.101885342,26.05875,26.05018688,0.466273458,0.017893163,103.7325,10.32013542,175.4045324,1.690931313,7.85,7.541625857,1.725543393,0.219814445,1.75,0,6.1,0.222929936,0,0.777070064,4.074,4.052661047,0.308519043,0.075728778,8.835,0.643605888,0.018112489,5.68625802,0.160023843,0.102992288,260.1,284.8,24.7,-18.2,,,,
Mn3GaN,25,25,0,0,0.139,0.139,0,0,0.011249495,0.135,0.135,0,0,0.010305995,54.938045,54.938045,0,0,7.3,7.3,0,0,-0.5,-0.5,0,0,1.65,1.65,0,0,1.55,1.55,0,0,7,7,0,0,12.05,12.05,0,0,7.434,7.434,0,0,15.63973675,15.63973675,0,0,320.085,320.085,0,0,1519.15,1519.15,0,0,4,4,0,0,26.32,26.32,0,0,7.82,7.82,0,0,7,7,0,0,2,0,5,0.285714286,0,0.714285714,3.9,3.9,0,0,0,0,0,0,0,0,282,325,43,-60.5,,,,
Mn3Ga0.9Ge0.1N,26.525,26.28859149,2.645633195,0.099741119,0.1347,0.134259201,0.007453858,0.055336734,0.010329473,0.13567,0.135619926,0.002558339,0.018857075,0.010471235,58.70695875,58.06186796,6.542497395,0.111443303,6.93775,6.872378009,0.633646145,0.09133309,-0.247425,-1.045512808,0.453751688,1.83389588,1.59275,1.582085968,0.125239521,0.078630997,1.62,1.611296683,0.12489996,0.077098741,8.525,7.921653972,2.645633195,0.310338205,11.21875,9.692938913,4.917970713,0.438370649,7.12275,7.064191248,0.609798891,0.085612845,16.7438462,16.53118935,2.031975797,0.121356573,259.40505,176.8148993,105.2158374,0.40560443,1237.803285,795.4702601,506.0021748,0.40879046,4,4,0,0,26.13905,26.12828321,0.504784308,0.019311502,16.4975,9.816706136,15.30614399,0.927785664,6.025,5.308056872,1.695398183,0.281393889,2,0.275,3.75,0.331950207,0.045643154,0.622406639,4.00625,3.996022059,0.215692924,0.053839107,-11.48625,0.643605888,0.00740061,-7.392618131,-0.08500526,-0.054709886,276,334,58,-22.1,,,,
Mn3Ga0.8Ge0.2N,26.55,26.30601962,2.692118125,0.101398046,0.13465,0.134197667,0.007545031,0.056034396,0.010320274,0.13529,0.135216211,0.003081217,0.022774908,0.010388443,58.77963375,58.11028932,6.679179466,0.113630845,6.923,6.850292417,0.663559342,0.095848525,-0.22735,-1.005700086,0.498804999,2.193996039,1.6055,1.594574363,0.127846588,0.079630388,1.625,1.614872779,0.135922772,0.083644783,8.55,7.930283224,2.692118125,0.314867617,12.0025,10.06315784,6.270539749,0.522436138,7.17025,7.11457074,0.594215607,0.082872369,16.62937244,16.43604126,1.943401084,0.11686557,258.5851,170.4120345,106.7227317,0.412718025,1260.51542,836.6634007,483.4142807,0.38350525,4,4,0,0,26.0731,26.05352412,0.679146958,0.026047802,16.98,9.835862926,16.32839245,0.961624997,6.05,5.367412141,1.657558445,0.273976603,2,0.3,3.75,0.330578512,0.049586777,0.619834711,4.025,4.010161495,0.263391344,0.065438843,-13.145,0.687435751,0.010795236,-9.03634294,-0.141903383,-0.097549459,351,411,60,-20,,,,
