Ti,Mo,Ni,W,Si,Cu,P,Fe,N,Nb,C,Mn,S,Cr,roughness,heat-treatment/temperature-1,heat-treatment/time-1,heat-treatment/temperature-2,heat-treatment/time-2,heat-treatment/temperature-3,heat-treatment/time-3,heat-treatment/temperature-4,heat-treatment/time-4,heat-treatment/temperature-5,heat-treatment/time-5,PREN
0.0,1.54,3.39,0.0,0.37,2.29,0.012,65.138,0.23,0.0,0.01,3.01,0.0,24.01,3.0,1080.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.139
0.0,1.54,3.39,0.0,0.37,2.29,0.012,65.138,0.23,0.0,0.01,3.01,0.0,24.01,3.0,1100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.847
0.0,1.54,3.39,0.0,0.37,2.29,0.012,65.138,0.23,0.0,0.01,3.01,0.0,24.01,3.0,1130.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.665
0.0,1.54,3.39,0.0,0.37,2.29,0.012,65.138,0.23,0.0,0.01,3.01,0.0,24.01,3.0,1000.0,60.0,1030.0,60.0,1080.0,60.0,1100.0,60.0,1130.0,60.0,32.77
0.0,1.54,3.39,0.0,0.37,2.29,0.012,65.138,0.23,0.0,0.01,3.01,0.0,24.01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.76
0.002,3.81,6.83,0.0,0.28,0.21,0.022,0.0,0.268,0.0,0.014,0.87,0.001,24.82,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7
0.0,6.02,17.76,0.0,0.36,0.72,0.02,0.0,0.203,0.0,0.012,0.51,0.001,20.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1
0.0,6.02,17.76,0.0,0.36,0.72,0.02,0.0,0.203,0.0,0.012,0.51,0.001,20.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6
0.003,4.4,17.59,0.0,0.273,0.066,0.012,0.0,0.458,0.006,0.014,5.01,0.001,24.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4
0.0,6.02,24.76,0.0,0.21,0.94,0.023,0.0,0.223,0.0,0.019,0.82,0.004,19.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
0.0,4.15,14.01,0.0,0.56,0.21,0.023,0.0,0.171,0.0,0.018,1.56,0.001,17.94,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4
0.0,1.2,4.0,0.0,0.5,0.3,0.001,0.0,0.2,0.0,0.03,1.5,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16
0.0,1.2,4.0,0.0,0.5,0.3,0.001,0.0,0.2,0.0,0.03,1.5,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.66
