formula,AN1,AN2,AND,ANd,Rc1,Rc2,RcD,Rcd,Vmc,Rm1,Rm2,RmD,Rmd,Vmm,AW1,AW2,AWD,AWd,D1,D2,DD,Dd,Eea1,Eea2,EeaD,Eead,XM1,XM2,XMD,XMd,XP1,XP2,XPD,XPd,Gp1,Gp2,GpD,Gpd,Hf1,Hf2,HfD,Hfd,I11,I12,I1D,I1d,I21,I22,I2D,I2d,LP1,LP2,LPD,LPd,Tm1,Tm2,TmD,Tmd,P1,P2,PD,Pd,Cp1,Cp2,CpD,Cpd,K1,K2,KD,Kd,VEC1,VEC2,VECD,VECd,sVEC1,pVEC1,dVEC1,fs,fp,fd,W1,W2,WD,Wd,Hmix,Smix/R,Smix/kb,PHSmis,PHSmix,PHSS,t1,t2,deltaT,alpha
Mn3(Zn0.35Sn0.65)(N0.85C0.15),30.58,26.18943693,10.04706922,0.328550334,0.14204,0.139048515,0.018718397,0.131782578,0.012616109,0.141395,0.138940691,0.01624763,0.114909508,0.012285947,68.840128,57.31158115,24.9434017,0.362338108,6.99865,6.684505471,0.891553379,0.127389336,-0.0859224,-1.276108512,0.638953634,7.436403473,1.6889,1.67145272,0.192285699,0.113852625,1.6029,1.573733006,0.240795743,0.150225057,7.96,6.873977087,3.193493385,0.401192636,15.03931,11.34260747,18.17525961,1.208516854,7.53828,7.454164135,0.898353473,0.119172208,15.51270146,15.31615991,1.957183693,0.126166529,213.13445,98.3524806,131.3502132,0.61627866,1502.118,1188.879751,635.2241987,0.422885685,4.24,4.12371134,0.601996678,0.141980349,25.66057,24.64626124,3.061423797,0.119304591,29.199,11.4938185,35.90935726,1.229814626,6.36,5.745554036,2.076150284,0.326438724,2,0.32,4.04,0.314465409,0.050314465,0.635220126,4.0365,4.023978387,0.238522012,0.059091295,-20.4932,1.164301685,0.274808921,-23.86026728,-5.63171419,-6.557014318,284,353,68,-21
Mn3(Zn0.6Sn0.4)(N0.85C0.1B0.05),29.57,25.52105487,9.032447066,0.305459826,0.14127,0.138325463,0.018959881,0.134210245,0.012440384,0.140317,0.138127621,0.015361335,0.109475936,0.011967824,66.161621,55.9142636,22.19518923,0.335469248,6.9938,6.69128003,0.882641241,0.126203386,-0.1813424,-1.13104333,0.569025218,3.137849825,1.696,1.678173388,0.190326036,0.11222054,1.5823,1.559563585,0.210318116,0.132919242,7.85,6.843391615,3.011228985,0.383596049,14.38596,11.36463972,15.43002606,1.072575349,7.61116,7.519674398,0.91612489,0.120366001,15.68702907,15.46931311,2.050591112,0.130718895,211.43228,90.99308751,133.4515529,0.631178706,1496.758,1225.552736,582.9571552,0.389479899,4.19,4.081632653,0.577840809,0.137909501,25.60017,24.73593299,2.907209136,0.113562103,30.649,11.49736872,38.66011302,1.261382525,6.75,6.004288778,2.351063589,0.348305717,2,0.21,4.54,0.296296296,0.031111111,0.672592593,4.0315,4.020113458,0.226346526,0.056144494,-16.9892,1.188510115,0.249434336,-20.19183605,-4.237689816,-5.036537212,243.35,295.56,52.21,-34.9
Mn3(Zn0.55Sn0.45)(N0.85C0.1B0.05),29.77,25.60819462,9.258352985,0.310996069,0.14144,0.138517542,0.018862301,0.133359029,0.012476817,0.140542,0.138317839,0.015511764,0.110371024,0.012032198,66.694921,56.12991703,22.80239523,0.34189103,6.99505,6.692359137,0.882935868,0.126222953,-0.1642224,-1.164849565,0.581782784,3.542651821,1.6931,1.67588878,0.187246869,0.110594099,1.5854,1.561898535,0.213552897,0.134699696,7.87,6.8489714,3.045176514,0.386934754,14.38303,11.35729163,15.43139491,1.072889017,7.59066,7.502909559,0.898773122,0.118405135,15.65370783,15.43903804,2.040360532,0.130343594,211.85509,92.55227577,132.9456097,0.627530874,1494.882,1217.551458,585.836465,0.391894788,4.2,4.08997955,0.583095189,0.138832188,25.61739,24.7512486,2.911010652,0.113634162,30.155,11.4889223,37.87396355,1.255976241,6.67,5.944798301,2.306750962,0.345839724,2,0.23,4.44,0.299850075,0.034482759,0.665667166,4.032,4.02054551,0.226993392,0.056297964,-17.3824,1.191535545,0.253529817,-20.71174745,-4.406956693,-5.251045544,270,325,55,-37
Mn3(Zn0.5Sn0.5)(N0.85C0.1B0.05),29.97,25.69593148,9.474655667,0.316137994,0.14161,0.138710156,0.018762673,0.132495396,0.01251325,0.140767,0.138508582,0.015657516,0.111230019,0.012096572,67.228221,56.34724039,23.38168543,0.347795689,6.9963,6.693438593,0.883228628,0.126242246,-0.1471024,-1.200738963,0.593773129,4.036461194,1.6902,1.673610383,0.18407053,0.108904585,1.5885,1.564240487,0.216695062,0.136414896,7.89,6.854560291,3.078619821,0.390192626,14.3801,11.34995303,15.43276309,1.073202765,7.57016,7.486219307,0.880602597,0.116325493,15.62038659,15.40888125,2.029531396,0.129928372,212.2779,94.16582973,132.4363839,0.623882109,1493.006,1209.653979,588.6957141,0.39430231,4.21,4.098360656,0.588132638,0.139698964,25.63461,24.76658319,2.914705477,0.113701963,29.661,11.48048828,37.06456285,1.249605976,6.59,5.886475123,2.258738586,0.342752441,2,0.25,4.34,0.303490137,0.037936267,0.658573596,4.0325,4.020977654,0.227637321,0.056450669,-17.7764,1.192537218,0.257491517,-21.1990186,-4.577272194,-5.458567448,280,340,60,-30
Mn3(Cu0.5Sn0.5)N,28.625,27.16627635,8.184398267,0.285917843,0.138125,0.138084666,0.002315032,0.016760416,0.011047568,0.137475,0.136887831,0.009564485,0.069572541,0.011048518,63.98553375,59.98150073,20.87493327,0.326244575,7.503125,7.468460689,0.550766157,0.073404902,-0.0815,-0.777328595,0.725525844,8.902157592,1.6875,1.684801892,0.069597055,0.041242699,1.645,1.630162036,0.165227116,0.100442016,8.375,7.847133758,2.496873044,0.298134095,11.547375,11.16038091,1.738871253,0.150585848,7.45925,7.457808642,0.105037791,0.014081549,16.09537752,15.9597863,1.62018923,0.100661772,250.72225,68.60972408,121.1203881,0.483085917,1372.21875,1200.126636,331.9772454,0.24192735,4.125,4.102564103,0.330718914,0.080174282,26.184,26.16396166,0.708316314,0.027051494,64.315,10.19404092,128.7012629,2.001108029,7.125,6.677506775,1.763341997,0.247486596,1.875,0.25,5,0.263157895,0.035087719,0.701754386,4.05625,4.03813503,0.284426506,0.070120556,-0.6875,0.73562194,0.100738303,-0.505740084,-0.069257584,-0.050947398,293.62,343.97,50.34,-1.42
Mn3(Cu0.6Sn0.4)N,28.1,26.90166976,7.435724578,0.264616533,0.13795,0.137903044,0.0024995,0.018118883,0.011007183,0.13662,0.136118343,0.008834682,0.064666093,0.010821884,62.60643375,59.33089414,18.94720486,0.3026399,7.5455,7.504948254,0.594299798,0.078762149,-0.0784,-0.775968131,0.730864037,9.322245365,1.69,1.686996684,0.073484692,0.043482066,1.6435,1.629092346,0.162612269,0.098942664,8.3,7.817258883,2.368543856,0.28536673,11.6979,11.36858537,1.595954163,0.136430826,7.4688,7.467181758,0.111303908,0.014902516,16.2368762,16.08210086,1.729689761,0.106528481,249.18415,61.19812253,123.7251136,0.496520801,1393.536,1246.63279,301.5981518,0.216426523,4.1,4.081632653,0.3,0.073170732,26.1172,26.09513183,0.742804523,0.028441201,72.675,10.22667479,139.0248707,1.912966917,7.3,6.859688196,1.791647287,0.245431135,1.85,0.2,5.25,0.253424658,0.02739726,0.719178082,4.065,4.045125942,0.298370575,0.073399895,0.12,0.730588061,0.087030634,0.087670567,0.010443676,0.007630025,238.23,274.18,35.95,-18.67
Mn3(Cu0.7Sn0.3)N,27.575,26.64216812,6.560821214,0.237926427,0.137775,0.137721899,0.00265977,0.019305169,0.010966798,0.135765,0.135357458,0.007947438,0.058538197,0.010595251,61.22733375,58.69425009,16.68611611,0.272527237,7.587875,7.541794094,0.632020458,0.083293473,-0.0753,-0.774612421,0.736150467,9.776234621,1.6925,1.689197201,0.07709572,0.045551385,1.642,1.628024058,0.159940614,0.097405977,8.225,7.787610619,2.230330693,0.271164826,11.848425,11.5847059,1.42307786,0.120106922,7.47835,7.476578463,0.116455045,0.015572291,16.37837488,16.20630471,1.821701525,0.111226024,247.64605,55.23169013,126.2573862,0.509830002,1414.85325,1296.888568,266.0923685,0.188070649,4.075,4.060913706,0.263391344,0.064635913,26.0504,26.0266632,0.769987428,0.029557605,81.035,10.25951826,148.1621918,1.828372824,7.475,7.052089296,1.802602286,0.241150807,1.825,0.15,5.5,0.244147157,0.02006689,0.735785953,4.07375,4.052141101,0.311445722,0.076451849,0.8925,0.71505122,0.071317741,0.638183214,0.063651084,0.045513785,193.34,218.71,25.36,-31.75
Mn3(Cu0.5Sb0.1Sn0.4)N,28.65,27.17351363,8.250909041,0.287989844,0.138125,0.138084666,0.002315032,0.016760416,0.011047568,0.13725,0.136717942,0.009078408,0.066145052,0.010978361,64.06178375,60.00048614,21.07925683,0.329045737,7.4885,7.451689277,0.564491143,0.07538107,-0.083125,-0.778172867,0.722918985,8.696769749,1.69325,1.689525548,0.082776431,0.048886125,1.64725,1.631651503,0.170043928,0.103228974,8.4,7.854471268,2.557342371,0.30444552,11.8684,11.45420779,2.035159832,0.171477186,7.49085,7.485714582,0.20662279,0.027583357,16.14282013,16.00990471,1.604360449,0.099385388,250.494025,68.38271939,121.4624237,0.484891501,1382.18625,1232.42274,311.1224384,0.225094439,4.125,4.102564103,0.330718914,0.080174282,26.13695,26.11696068,0.707616844,0.027073428,63.2575,10.12658667,128.8518383,2.03694168,7.15,6.733712287,1.725543393,0.24133474,1.875,0.275,5,0.262237762,0.038461538,0.699300699,4.0615,4.042455503,0.291646618,0.071807613,-0.9975,0.798172243,0.091057061,-0.796176812,-0.090829419,-0.072497521,293.69,323.5,29.8,-7.24
Mn3(Cu0.5Sb0.2Sn0.3)N,28.675,27.18075478,8.316812791,0.290037063,0.138125,0.138084666,0.002315032,0.016760416,0.011047568,0.137025,0.136548473,0.008558877,0.062462156,0.010908204,64.13803375,60.01948357,21.28134559,0.331805394,7.473875,7.434993021,0.577520008,0.077271831,-0.08475,-0.779018976,0.720299026,8.499103557,1.699,1.694275765,0.09377633,0.055195015,1.6495,1.633143694,0.174699027,0.105910292,8.425,7.861822513,2.616175644,0.310525299,12.189425,11.76392457,2.248102254,0.184430542,7.52245,7.513830146,0.268990516,0.035758365,16.19026274,16.06033889,1.586956254,0.098019179,250.2658,68.15721189,121.8030712,0.486694831,1392.15375,1266.505126,288.4211326,0.207176206,4.125,4.102564103,0.330718914,0.080174282,26.0899,26.07012826,0.703778225,0.026975122,62.2,10.06001924,128.9935688,2.073851589,7.175,6.79087201,1.686527498,0.235056097,1.875,0.3,5,0.261324042,0.041811847,0.696864111,4.06675,4.046785231,0.298599962,0.073424716,-1.3025,0.819748398,0.081199405,-1.067722289,-0.105762225,-0.086698414,248.42,294.03,45.6,-18.13
Mn3(Cu0.5Sb0.3Sn0.2)N,28.7,27.18799978,8.382123836,0.292060064,0.138125,0.138084666,0.002315032,0.016760416,0.011047568,0.1368,0.136379425,0.007999375,0.058474963,0.010838047,64.21428375,60.03849304,21.48126261,0.334524678,7.45925,7.418371417,0.589898879,0.079082867,-0.086375,-0.779866926,0.717665824,8.308721547,1.70475,1.699052769,0.10329539,0.060592691,1.65175,1.634638616,0.179205015,0.108494031,8.45,7.869187532,2.673480877,0.316388269,12.51045,12.09085604,2.399987052,0.191838587,7.55405,7.542157704,0.316262071,0.041866558,16.23770535,16.11109183,1.567924187,0.0965607,250.037575,67.93318683,122.1423421,0.488495948,1402.12125,1302.52621,263.3963283,0.1878556,4.125,4.102564103,0.330718914,0.080174282,26.04285,26.02346349,0.696748576,0.02675393,61.1425,9.994321268,129.1264835,2.111894075,7.2,6.849010451,1.646207763,0.228639967,1.875,0.325,5,0.260416667,0.045138889,0.694444444,4.072,4.051124244,0.305304766,0.074976612,-1.6025,0.819748398,0.071163748,-1.313646808,-0.114039907,-0.093484031,208.24,233.32,25.07,-46.6
Mn3(Cu0.5Sb0.4Sn0.1)N,28.725,27.19524865,8.446855924,0.294059388,0.138125,0.138084666,0.002315032,0.016760416,0.011047568,0.136575,0.136210794,0.00739083,0.054115544,0.01076789,64.29053375,60.05751455,21.67906798,0.337204666,7.444625,7.401823965,0.601667877,0.080819098,-0.088,-0.780716724,0.715019231,8.125218529,1.7105,1.703856786,0.111712801,0.065310027,1.654,1.636136278,0.183572874,0.110987227,8.475,7.876566363,2.729354319,0.322047707,12.831475,12.43647846,2.501958802,0.194986064,7.58565,7.570699663,0.354528387,0.046736718,16.28514795,16.16216656,1.547204174,0.095007069,249.80935,67.71062964,122.4802481,0.490294891,1412.08875,1340.656249,235.3078826,0.166638168,4.125,4.102564103,0.330718914,0.080174282,25.9958,25.97696549,0.686429865,0.026405414,60.085,9.929475819,129.2506096,2.151129393,7.225,6.908152966,1.604485899,0.222074173,1.875,0.35,5,0.259515571,0.048442907,0.692041522,4.07725,4.055472571,0.311777064,0.076467488,-1.8975,0.798172243,0.060948492,-1.514531831,-0.115649763,-0.092308431,143.37,158.16,14.8,-92.92
Mn3Ga0.8Sn0.2N,27.45,26.70111972,5.69627071,0.207514416,0.1356,0.13523126,0.0068,0.050147493,0.010520837,0.13719,0.13696793,0.005931433,0.043235172,0.010879559,61.08363375,59.02689405,14.46699105,0.236839071,7.02025,6.97043905,0.555176717,0.079082186,-0.2334,-1.010182955,0.481488982,2.0629348,1.599,1.589566633,0.116528966,0.072876152,1.6225,1.613219601,0.129107513,0.079573198,8.55,7.930283224,2.692118125,0.314867617,10.50695,9.511831265,2.688092027,0.255839423,7.1425,7.090439477,0.572081943,0.080095477,16.56423278,16.36091675,1.986925994,0.119952793,259.86255,181.6738799,104.3184182,0.401436906,1225.19942,798.1206178,510.7403101,0.416863004,4.05,4.04040404,0.217944947,0.053813567,26.2676,26.26492219,0.266340834,0.010139519,17.315,9.843993618,17.24833543,0.996149895,6.05,5.367412141,1.657558445,0.273976603,2,0.3,3.75,0.330578512,0.049586777,0.619834711,3.9925,3.986274957,0.161458199,0.040440375,-8.81,0.687435751,0.038903912,-6.056308962,-0.342743468,-0.235614113,314,373,59,-38.4
Mn3Ga0.7Sn0.3N,27.925,26.92140686,6.679773574,0.239204067,0.136025,0.135691138,0.006459441,0.047487159,0.010611919,0.13776,0.137443774,0.007081271,0.051402955,0.011042325,62.30830875,59.54697037,16.99847014,0.272812254,7.054125,7.008984349,0.527024534,0.074711539,-0.21635,-0.975060666,0.5155492,2.382940605,1.6085,1.599642131,0.112905934,0.070193307,1.62625,1.615975255,0.136467716,0.083915582,8.575,7.938931298,2.737585615,0.319251967,10.542925,9.595395893,2.631071648,0.249558035,7.176125,7.129018717,0.542653075,0.075619234,16.4171892,16.23083114,1.905132384,0.116044979,259.681325,180.6689304,104.6354177,0.402937784,1230.253555,819.7332438,502.5228227,0.408470937,4.075,4.060913706,0.263391344,0.064635913,26.2989,26.29575521,0.289187811,0.010996194,17.965,9.867343499,18.55405818,1.032789211,6.075,5.428109855,1.618448331,0.266411248,2,0.325,3.75,0.329218107,0.053497942,0.617283951,3.995,3.988424918,0.166132477,0.041585101,-8.3475,0.71505122,0.054991437,-5.96889006,-0.459041023,-0.328237844,335,396,61,-24
Mn3Ga0.6Sn0.4N,28.4,27.14535902,7.505997602,0.26429569,0.13645,0.136154155,0.006070214,0.044486729,0.010703001,0.13833,0.137922936,0.008028518,0.058038877,0.01120509,63.53298375,60.07629278,19.12073447,0.300957602,7.088,7.047958317,0.494968181,0.069831854,-0.1993,-0.942298597,0.546963353,2.744422245,1.618,1.609846173,0.108332821,0.066954772,1.63,1.618740341,0.143352712,0.087946449,8.6,7.947598253,2.782085549,0.32349832,10.5789,9.680441822,2.572284761,0.243152385,7.20975,7.168020076,0.509318847,0.070643066,16.27014562,16.10279783,1.807744524,0.111108073,259.5001,179.6750377,104.9511467,0.404435862,1235.30769,842.5489627,494.1170122,0.399995091,4.1,4.081632653,0.3,0.073170732,26.3302,26.3266607,0.30718457,0.011666625,18.615,9.890804414,19.75236885,1.061099589,6.1,5.490196078,1.577973384,0.258684161,2,0.35,3.75,0.327868852,0.057377049,0.614754098,3.9975,3.990577198,0.170642169,0.042687222,-7.89,0.730588061,0.070106278,-5.764339804,-0.553138531,-0.404116407,355,422,67,-15.6
Mn3Ga0.5Sn0.5N,28.875,27.37306843,8.222492019,0.284761628,0.136875,0.136620342,0.005622222,0.041075591,0.010794084,0.1389,0.13840545,0.008838552,0.063632483,0.011367856,64.75765875,60.61511005,20.95846674,0.323644603,7.121875,7.087368144,0.458188945,0.064335438,-0.18225,-0.911666571,0.576164419,3.161395988,1.6275,1.620181232,0.102682764,0.063092328,1.63375,1.621514905,0.149828026,0.09170805,8.625,7.956284153,2.825663639,0.327613176,10.614875,9.767008791,2.511607326,0.236612049,7.243375,7.207450518,0.471251243,0.065059623,16.12310204,15.97676863,1.692071955,0.104947047,259.318875,178.6920204,105.2656169,0.40593118,1240.361825,866.6711079,485.5130973,0.391428604,4.125,4.102564103,0.330718914,0.080174282,26.3615,26.35763893,0.321147552,0.012182446,19.265,9.914377159,20.86178504,1.082885286,6.125,5.553719008,1.536025716,0.250779709,2,0.375,3.75,0.326530612,0.06122449,0.612244898,4,3.992731804,0.175,0.04375,-7.4375,0.73562194,0.084270708,-5.471188177,-0.626763392,-0.461060902,407,458,51,-12
Mn3Ga0.4Sn0.6N,29.35,27.60463045,8.855930217,0.301735271,0.1373,0.137089733,0.0051,0.037144938,0.010885166,0.13947,0.138891353,0.009546366,0.06844745,0.011530622,65.98233375,61.16367996,22.58124248,0.342231643,7.15575,7.127221182,0.415434336,0.058056016,-0.1652,-0.882963401,0.603473744,3.652988767,1.637,1.630649849,0.095765338,0.058500512,1.6375,1.624298996,0.155944702,0.095233406,8.65,7.964989059,2.868361902,0.331602532,10.65085,9.855137973,2.448898819,0.2299252,7.277,7.247317164,0.427186727,0.058703687,15.97605846,15.85269687,1.554037035,0.097272869,259.13765,177.7197009,105.5788392,0.407423774,1245.41596,892.2151955,476.7003513,0.382763965,4.15,4.12371134,0.357071421,0.086041306,26.3928,26.38869015,0.331586731,0.01256353,19.915,9.938062533,21.89582323,1.099463883,6.15,5.618729097,1.492481156,0.242679863,2,0.4,3.75,0.325203252,0.06504065,0.609756098,4.0025,3.994888737,0.179217047,0.044776277,-6.99,0.730588061,0.097506472,-5.106810549,-0.681570238,-0.497947079,451,489,38,-6.5
Mn3Ga0.3Sn0.7N,29.825,27.84014369,9.423076727,0.315945573,0.137725,0.137562361,0.004477653,0.032511547,0.010976248,0.14004,0.139380679,0.010173318,0.072645802,0.011693388,67.20700875,61.72226973,24.03264526,0.357591354,7.189625,7.16752495,0.36460833,0.050713122,-0.14815,-0.85601246,0.629137725,4.246626564,1.6465,1.641254629,0.087279723,0.053009246,1.64125,1.627092665,0.161743431,0.09854893,8.675,7.973713034,2.910219064,0.335471938,10.686825,9.944872041,2.383998971,0.22307832,7.310625,7.287627292,0.375017312,0.051297572,15.82901488,15.73053727,1.38697912,0.08762258,258.956425,176.7579055,105.890825,0.408913681,1250.470095,919.3107738,467.6669687,0.373992925,4.175,4.14507772,0.379967104,0.091010085,26.4241,26.41981461,0.338827965,0.012822687,20.565,9.961861347,22.86471244,1.111826523,6.175,5.685279188,1.447195564,0.234363654,2,0.425,3.75,0.32388664,0.068825911,0.607287449,4.005,3.997048001,0.183303028,0.045768546,-6.5475,0.71505122,0.109834794,-4.681797864,-0.719143314,-0.514224304,480,513,33,-0.45
Mn2.95Cu0.1Zn0.4N,25.69565217,25.59696401,1.696580942,0.066025993,0.136826087,0.136583434,0.005495602,0.040164868,0.010780261,0.135313043,0.135285056,0.001937121,0.01431585,0.01038422,56.39821239,56.19936609,3.557712676,0.063082011,7.329565217,7.320291424,0.286297883,0.039060691,-0.461275362,-0.531934534,0.29498022,0.639488348,1.701014493,1.69282675,0.127246707,0.074806363,1.57173913,1.569407648,0.065096506,0.041416864,7.695652174,7.437704153,1.696580942,0.22045967,11.53081159,11.23390636,1.533360743,0.132979429,7.669710145,7.626853212,0.626350578,0.081665482,16.04412491,15.98581889,1.044259598,0.065086728,277.6475217,113.1332322,103.1219177,0.371413067,1418.64971,1330.508903,264.2897791,0.186296714,4,4,0,0,26.15768116,26.15063676,0.419972894,0.016055433,31.75913043,9.056651226,72.55798964,2.284634014,7.695652174,7.437704153,1.696580942,0.22045967,1.971014493,0,5.724637681,0.256120527,0,0.743879473,3.969565217,3.962283162,0.179616619,0.045248436,2.789329973,0.486330622,0.004265335,1.356536581,0.011897427,0.005786083,330,365,35,-34
Mn3.1Zn0.5Sn0.4N,28.125,26.9058296,7.473912964,0.265739128,0.136875,0.136620342,0.005622222,0.041075591,0.010794084,0.1382625,0.137853418,0.008049059,0.058215775,0.011189438,62.62048488,59.30815224,19.00777854,0.303539306,7.2765,7.276113376,0.052633164,0.007233308,-0.3513,-0.599374753,0.488868807,1.391599222,1.70875,1.700349639,0.128689306,0.075311957,1.6035,1.595461273,0.123279155,0.076881294,8.325,7.795823666,2.503872002,0.300765406,10.9569,10.45872318,2.029882876,0.185260692,7.67,7.623481532,0.652161023,0.085027513,15.82958491,15.78640769,0.860803099,0.054379385,259.29485,128.1877258,113.2610328,0.43680402,1314.43425,1125.36492,382.5007723,0.291000309,4.1,4.081632653,0.3,0.073170732,26.28295,26.2764505,0.411662723,0.015662729,27.2205,9.834394013,37.84168984,1.390190843,7.325,6.843177189,1.979741145,0.270271829,2,0.2,5.125,0.273037543,0.027303754,0.699658703,3.995,3.987618891,0.17670597,0.044231782,0.205,0.687730195,0.070534284,0.14098469,0.014459528,0.009944254,335,375,40,2.303797468
Mn3.25Zn0.5Sn0.25N,27.1875,26.37362637,6.11574556,0.224946963,0.136875,0.136620342,0.005622222,0.041075591,0.010794084,0.13725,0.136979202,0.006559821,0.047794688,0.010908084,60.22903656,58.0457854,15.48591623,0.257117117,7.2778125,7.277423819,0.052766252,0.00725029,-0.41175,-0.562705575,0.394804936,0.958846232,1.705,1.696603121,0.128889488,0.075595007,1.588125,1.582681967,0.101502386,0.063913348,8.0625,7.636363636,2.249131777,0.278962081,11.1451875,10.70767467,1.884466742,0.169083449,7.673375,7.627075962,0.650696442,0.08479925,15.86736281,15.82765493,0.828946822,0.052242255,268.5456875,135.0021715,107.6342106,0.400804093,1352.461875,1191.838514,349.0956522,0.258118664,4.0625,4.050632911,0.242061459,0.059584359,26.25325,26.24774483,0.377969493,0.014397055,25.01625,9.441419168,37.18999947,1.486633667,7.4375,7.036649215,1.869784413,0.251399585,2,0.125,5.3125,0.268907563,0.016806723,0.714285714,3.978125,3.971864632,0.162950098,0.040961533,1.046875,0.601923972,0.047542078,0.630139158,0.049770612,0.029958125,299.02,344.12,45.1,-31.13
Mn3Ga0.6Sn0.4N,28.4,27.14535902,7.505997602,0.26429569,0.13645,0.136154155,0.006070214,0.044486729,0.010703001,0.13833,0.137922936,0.008028518,0.058038877,0.01120509,63.53298375,60.07629278,19.12073447,0.300957602,7.088,7.047958317,0.494968181,0.069831854,-0.1993,-0.942298597,0.546963353,2.744422245,1.618,1.609846173,0.108332821,0.066954772,1.63,1.618740341,0.143352712,0.087946449,8.6,7.947598253,2.782085549,0.32349832,10.5789,9.680441822,2.572284761,0.243152385,7.20975,7.168020076,0.509318847,0.070643066,16.27014562,16.10279783,1.807744524,0.111108073,259.5001,179.6750377,104.9511467,0.404435862,1235.30769,842.5489627,494.1170122,0.399995091,4.1,4.081632653,0.3,0.073170732,26.3302,26.3266607,0.30718457,0.011666625,18.615,9.890804414,19.75236885,1.061099589,6.1,5.490196078,1.577973384,0.258684161,2,0.35,3.75,0.327868852,0.057377049,0.614754098,3.9975,3.990577198,0.170642169,0.042687222,-7.89,0.730588061,0.070106278,-5.764339804,-0.553138531,-0.404116407,372.55,418.63,46.08,-31.33
Mn3.27Zn0.45Sn0.28N,27.3125,26.42007926,6.419878796,0.235052771,0.1370875,0.136854635,0.00537167,0.039184247,0.010839625,0.13739625,0.137096994,0.006896819,0.050196558,0.010951038,60.57680179,58.17071552,16.28346252,0.268806904,7.27955,7.279194303,0.050473235,0.006933565,-0.39841,-0.568327013,0.415574965,1.043083671,1.700875,1.693188763,0.123381459,0.072539992,1.58995,1.58399416,0.10628263,0.066846524,8.0525,7.624234173,2.265997297,0.281402955,11.16663,10.7335616,1.87061795,0.167518575,7.6482,7.606006693,0.621985016,0.081324366,15.83074831,15.79354747,0.801585265,0.050634705,270.307645,140.3832093,105.7178281,0.39110188,1355.187225,1191.704157,349.2037948,0.257679373,4.07,4.056795132,0.255147016,0.062689685,26.270815,26.2654764,0.372546059,0.014180986,24.10485,9.384338539,35.96161139,1.491882811,7.3525,6.960845245,1.821604718,0.247753107,2,0.14,5.2125,0.272016321,0.019041142,0.708942537,3.9765,3.970300101,0.162242873,0.040800421,0.63645,0.596668262,0.052440495,0.379749515,0.033375753,0.019914253,265,325,60,-30.3
