热循环次数,剥落面积百分比,电压(V),电流(A),功率(KW),厚度(μm),氩气(SPLM),氢气(SPLM),载气,送粉量(g/min),喷涂距离(mm)
26,1.114849,66,550,36.3,300,35,5,300,25,120
54,2.742809,66,550,36.3,300,35,5,300,25,120
86,4.46931,66,550,36.3,300,35,5,300,25,120
117,8.524049,66,550,36.3,300,35,5,300,25,120
149,11.07955,66,550,36.3,300,35,5,300,25,120
174,11.07955,66,550,36.3,300,35,5,300,25,120
206,11.13813,66,550,36.3,300,35,5,300,25,120
239,11.90564,66,550,36.3,300,35,5,300,25,120
265,11.90564,66,550,36.3,300,35,5,300,25,120
302,11.90564,66,550,36.3,300,35,5,300,25,120
332,11.90564,66,550,36.3,300,35,5,300,25,120
364,11.88796,66,550,36.3,300,35,5,300,25,120
433,12.62398,66,550,36.3,300,35,5,300,25,120
496,13.8435,66,550,36.3,300,35,5,300,25,120
