,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,伸长率10,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,热处理工艺,夹杂物,晶粒度,最大晶粒度,渗氮,渗碳,试验单位-金相组织,金相组织,马氏体转变开
10,0Cr15Ni7Mo2Al,_,光滑,_,纵向,,041095,17.0,400.0,0.0,7.6,24.0,_,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,15.0,0.03,0.035,1.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:+ 450℃ 1h 空冷;热处理1:1050℃ 空冷 + 975℃ 水冷 , (-70℃) 2h;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN",,,,,,,,
11,0Cr15Ni7Mo2Al,_,光滑,_,纵向,,041095,17.0,450.0,0.0,7.7,25.0,_,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,15.0,0.03,0.035,1.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:+ 450℃ 1h 空冷;热处理1:1050℃ 空冷 + 975℃ 水冷 , (-70℃) 2h;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN",,,,,,,,
12,0Cr15Ni7Mo2Al,_,光滑,_,纵向,,041095,17.0,500.0,0.0,6.4,26.0,_,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,15.0,0.03,0.035,1.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:+ 450℃ 1h 空冷;热处理1:1050℃ 空冷 + 975℃ 水冷 , (-70℃) 2h;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN",,,,,,,,
13,0Cr15Ni7Mo2Al,_,光滑,_,纵向,,041095,17.0,550.0,0.0,7.5,27.0,_,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,15.0,0.03,0.035,1.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:+ 450℃ 1h 空冷;热处理1:1050℃ 空冷 + 975℃ 水冷 , (-70℃) 2h;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN",,,,,,,,
14,0Cr15Ni7Mo2Al,_,光滑,_,纵向,,041095,17.0,600.0,0.0,15.8,28.0,_,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.0,15.0,0.03,0.035,1.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"热处理4:NaN;热处理3:NaN;热处理2:+ 450℃ 1h 空冷;热处理1:1050℃ 空冷 + 975℃ 水冷 , (-70℃) 2h;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN",,,,,,,,
15,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,1.0,25.0,2.0,12.75,1.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
16,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,2.0,25.0,2.0,11.75,2.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 815℃ 30' 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
17,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,3.0,25.0,2.0,19.0,3.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 980℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
18,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,4.0,25.0,2.0,18.5,4.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 1010℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
19,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,5.0,25.0,2.0,21.0,5.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 630℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
