Hz_1,Hz_2,Hz_3,u_1,u_2,u_3,widths_1,widths_2,widths_3,width_heights_1,width_heights_2,width_heights_3,prominences_1,prominences_2,prominences_3,minRL
2.72,4.16,14.24,0.2199,0.22,0.1435,5.496002480093995,13.332568027210861,15.203734287116362,0.20924999999999994,0.19817857142857137,0.11902142857142853,0.010214285714285704,0.03710000000000002,0.048014285714285676,-51.9918
2.72,4.24,16.96,0.2014,0.2004,0.0372,5.970744680851064,11.652199186204236,8.652397508329699,0.1912928571428571,0.17962142857142852,0.030899999999999993,0.011242857142857138,0.03344285714285716,0.009314285714285712,-4.3004
2.72,4.16,16.8,0.1964,0.1947,0.0426,6.075523248780092,10.708993497573037,8.257786052809735,0.18632142857142853,0.17692857142857138,0.034714285714285704,0.011528571428571416,0.03031428571428571,0.011399999999999993,-10.7387
4.24,15.04,16.8,0.1761,0.0313,0.0347,11.832704105710238,9.67105313183157,9.61292356185973,0.15945714285714283,0.019721428571428563,0.026749999999999993,0.027114285714285702,0.020642857142857136,0.012214285714285712,-7.3096
2.72,4.16,16.8,0.1858,0.1809,0.0494,5.652070393374738,10.858049843646363,6.879736666797271,0.17602142857142852,0.16071428571428567,0.04052142857142856,0.01072857142857142,0.03428571428571431,0.014528571428571432,-14.4372
2.72,4.16,16.8,0.1926,0.1895,0.0448,5.934507381258012,10.385345804988656,8.29385992462312,0.18243571428571426,0.17016428571428568,0.035664285714285704,0.011928571428571427,0.03195714285714285,0.013185714285714287,-3.4319
2.64,4.16,16.88,0.1784,0.1718,0.0434,5.620936639118451,9.89982872522631,9.94261442441055,0.1726428571428571,0.15800714285714285,0.03687142857142856,0.006685714285714295,0.02324285714285715,0.010428571428571426,-3.8984
2.72,4.24,16.88,0.1705,0.1696,0.0484,5.987352048882609,11.630217925107441,7.9594615624027085,0.16118571428571427,0.15109999999999996,0.04308571428571428,0.01077142857142857,0.029828571428571427,0.007857142857142861,-3.3292
4.24,13.68,16.56,0.2061,0.1364,0.1488,12.464633663366357,9.562572099978638,14.004466519386341,0.18704285714285707,0.1266928571428571,0.12114999999999997,0.0319142857142857,0.015385714285714266,0.053299999999999986,-37.6561
4.16,15.12,16.88,0.2205,0.0794,0.0787,10.813660593138216,8.562780026990538,7.288549583371491,0.19787857142857135,0.0701142857142857,0.06977857142857141,0.03835714285714284,0.014514285714285702,0.014042857142857149,-21.4942
4.16,10.16,16.96,0.1636,0.0959,0.0688,10.823628016839066,6.838624338624328,15.208612440191388,0.14856428571428568,0.09022857142857141,0.060885714285714265,0.025728571428571434,0.006285714285714283,0.013285714285714283,-26.9308
4.32,10.56,17.12,0.1628,0.1097,0.0719,11.980220955096218,9.845086831470496,10.352255431022542,0.1465928571428571,0.0978285714285714,0.0651642857142857,0.02775714285714287,0.01937142857142854,0.011871428571428588,-4.391
4.08,10.16,15.44,0.1975,0.124,0.0982,9.908210007047206,7.375257731958769,6.068426371797159,0.1802285714285714,0.11747142857142853,0.09273571428571425,0.026485714285714307,0.007771428571428554,0.005214285714285713,-12.3024
4.08,10.16,12.72,0.1937,0.1293,0.1214,9.668488160291446,8.599387156941091,9.466018884497146,0.1740571428571428,0.12065714285714284,0.11617857142857141,0.029457142857142876,0.011200000000000015,0.0087,-13.0498
4.16,12.4,15.84,0.199,0.41,0.076,10.159243262698517,12.183305551756362,8.708038379530933,0.18017142857142854,0.2367214285714285,0.06587857142857141,0.03062857142857142,0.27295714285714273,0.014242857142857147,-11.8536
4.08,10.16,12.72,0.186,0.1335,0.1224,10.068504410130842,8.744446170576353,8.975738916256148,0.16597857142857136,0.12578571428571425,0.11754999999999997,0.029985714285714254,0.010800000000000018,0.00867142857142858,-3.534
4.24,10.16,17.04,0.1849,0.1418,0.1315,12.356417910447771,8.695247933884303,9.938656987295815,0.16927142857142852,0.1356142857142857,0.12456428571428568,0.02419999999999997,0.007885714285714301,0.010414285714285695,-4.6647
4.16,8.64,10.16,0.1646,0.123,0.1039,9.952922690132002,5.833011583011569,9.672570850202419,0.14808571428571424,0.11679999999999997,0.0964642857142857,0.027542857142857147,0.006371428571428611,0.010414285714285723,-8.5267
4.08,10.16,16.96,0.1592,0.1255,0.1217,9.913568123116665,10.646796431467948,9.544097222222234,0.1414928571428571,0.11691428571428569,0.10836428571428569,0.02692857142857144,0.011971428571428563,0.018614285714285708,-3.3093
4.16,8.72,10.32,0.1841,0.1687,0.1632,10.646769960206573,7.3825813609467446,17.49123433285736,0.16749999999999998,0.16194999999999996,0.15472142857142854,0.02808571428571427,0.011699999999999988,0.012557142857142878,-5.1275
4.16,6.4,10.32,0.1987,0.1966,0.2033,7.110331632653075,25.921992481203034,53.62404181184668,0.18557857142857137,0.1857071428571428,0.17895714285714281,0.01821428571428571,0.02058571428571429,0.04479999999999998,-4.2436
2.8,4.16,10.32,0.4703,0.4836,0.3283,8.75540634453437,9.256356325234993,8.811235777496847,0.43915714285714275,0.4427357142857141,0.30692857142857133,0.04448571428571435,0.06287142857142852,0.03448571428571434,-1.9529
10.4,12.0,15.04,0.0593,0.027,0.0071,8.884777112529619,11.095928611266046,8.547973213227465,0.030114285714285705,0.011921428571428569,-0.012521428571428569,0.044542857142857134,0.027014285714285706,0.02892857142857142,-1.544
10.48,12.08,15.12,0.0802,0.0654,0.0674,9.261715701245379,14.184755440637787,8.595923284816507,0.049328571428571416,0.043721428571428564,0.04609999999999999,0.04959999999999998,0.03621428571428571,0.030485714285714283,-1.2447
10.4,13.6,15.12,0.1385,0.1353,0.1503,8.472640132347209,10.514794082367047,8.305916849215038,0.10535714285714284,0.11684285714285711,0.12914285714285711,0.04868571428571429,0.031200000000000006,0.03145714285714285,-1.7389
10.48,12.08,15.12,0.1154,0.1024,0.1059,8.776245565649432,15.887640449438209,8.576893769803007,0.07987142857142855,0.07694285714285712,0.07880714285714284,0.05702857142857141,0.04731428571428569,0.038099999999999995,-1.2085
2.72,10.4,15.12,0.4045,0.1497,0.1476,7.509578570976963,9.143758819429095,8.78604080055922,0.38461428571428563,0.12259999999999997,0.1296071428571428,0.02574285714285718,0.0416,0.026585714285714296,-1.8171
2.72,10.4,15.12,0.4025,0.0314,-0.0359,8.005958591209726,7.626816479400745,8.714579251953438,0.3819785714285714,0.008085714285714283,-0.05745714285714284,0.029728571428571382,0.03297142857142856,0.033285714285714266,-1.8676
10.4,13.6,15.12,0.1033,0.1026,0.1162,8.97732234405278,10.245429421768705,9.25164509270843,0.06601428571428569,0.07219285714285713,0.0801785714285714,0.05728571428571427,0.05027142857142856,0.05598571428571425,-1.2702
10.48,12.08,15.2,0.0446,0.029,0.0335,9.226099614947074,13.35208210515033,8.636473266546261,0.012278571428571423,0.007571428571428569,0.012678571428571424,0.05249999999999999,0.037742857142857134,0.03235714285714285,-1.4586
10.4,12.08,15.12,0.1208,0.0978,0.0945,8.985048799828064,12.510439204808122,9.179076956876514,0.0927142857142857,0.07995714285714284,0.07470714285714283,0.04231428571428572,0.029514285714285715,0.029871428571428577,-1.783
10.4,12.08,15.12,0.1192,0.0957,0.0661,7.866672800883322,11.166102514506761,8.35194009530295,0.10056428571428569,0.08054999999999998,0.05208571428571427,0.026528571428571443,0.023414285714285707,0.022057142857142845,-1.9194
4.16,10.4,15.12,0.3433,0.1893,0.1873,27.949359363079743,9.357807226580306,8.545201734539972,0.30163571428571423,0.15606428571428568,0.16638571428571425,0.07315714285714275,0.05127142857142858,0.03059999999999996,-2.3433
5.92,10.4,17.04,0.1613,0.0929,-0.0369,32.757561391864975,7.656741536877334,12.174459287531818,0.13587142857142853,0.07465,-0.05269999999999999,0.04925714285714286,0.02567142857142858,0.026428571428571426,-3.5881
4.24,8.88,12.0,-0.0148,0.0126,0.2858,8.584257701238027,11.055648387568908,21.833273398051006,-0.04912857142857141,-0.028292857142857133,0.1660071428571428,0.05162857142857141,0.06718571428571427,0.2269857142857142,-1.8504
10.4,12.08,15.2,0.0287,0.0117,0.0035,8.656167796713177,12.628593272171258,9.1405730141839,0.0043857142857142845,-0.009371428571428569,-0.017199999999999997,0.036771428571428566,0.035399999999999994,0.03111428571428571,-4.3743
10.4,13.6,15.12,0.0701,0.0668,0.085,9.059008929878502,9.200956143364238,8.312502999328132,0.03833571428571427,0.04987857142857141,0.06513571428571427,0.04809999999999999,0.027499999999999997,0.02912857142857142,-2.7764
10.4,12.08,15.12,0.147,0.1341,0.1382,9.115221048620683,13.419606360366274,8.77516366612113,0.11644999999999997,0.11443571428571425,0.11904285714285712,0.04667142857142857,0.03229999999999998,0.028885714285714292,-2.844
4.24,10.56,12.08,0.1244,0.1973,0.1383,11.123045878545593,10.300876298822502,10.190498010054455,0.10074285714285712,0.13037142857142853,0.11354999999999998,0.03908571428571428,0.10837142857142854,0.04087142857142856,-53.3597
4.24,10.48,16.96,0.0807,0.0227,-0.0813,9.143132358493808,9.09477850148815,12.570167463103132,0.05996428571428569,0.012635714285714281,-0.0931642857142857,0.03092857142857141,0.016099999999999996,0.02129999999999997,-9.8018
2.64,4.16,16.08,0.1353,0.1202,0.3071,6.327977819085617,11.201844757689589,23.81847864145658,0.11990714285714282,0.09849285714285712,0.2330928571428571,0.017414285714285715,0.03761428571428568,0.1406428571428571,-25.1627
4.16,12.4,16.8,0.1377,0.1319,0.1311,10.836685159500718,11.874772539288657,9.448113991359236,0.11854285714285709,0.1193285714285714,0.12146428571428569,0.03202857142857139,0.02025714285714285,0.015414285714285714,-4.8206
10.48,12.48,15.2,0.0571,0.0416,0.03,9.999175045462422,29.564041859667185,7.559241706161146,0.018021428571428563,0.020507142857142852,0.013235714285714281,0.06407142857142856,0.040871428571428566,0.024414285714285708,-1.2269
10.48,12.24,15.2,0.1579,0.1316,0.1181,9.021647882485723,17.178313696612662,7.485306685950974,0.12960714285714284,0.11690714285714285,0.1037785714285714,0.04415714285714285,0.02864285714285715,0.02109999999999998,-1.3483
10.48,12.4,15.12,0.1019,0.0804,0.071,10.107803121248494,29.52936076007748,7.51802533867945,0.057707142857142846,0.05918571428571427,0.051714285714285706,0.07175714285714285,0.04299999999999999,0.02677142857142857,-1.2698
10.4,12.32,15.12,0.1228,0.0965,0.0915,9.9309262166405,30.069342517364532,7.577036179574918,0.07990714285714284,0.07722857142857141,0.07439285714285712,0.0667285714285714,0.03702857142857143,0.024928571428571418,-1.1784
10.4,12.08,15.12,0.0551,0.0179,0.0005,8.543465671953257,16.056210258584144,7.291772187917928,0.02335714285714285,0.0017785714285714262,-0.01594285714285714,0.047457142857142844,0.02998571428571428,0.02325714285714285,-1.1656
10.64,12.4,15.36,0.0252,0.0,-0.0836,9.686451781970646,12.54188034188033,6.5604635302777865,-0.004385714285714281,-0.013885714285714282,-0.0947785714285714,0.04722857142857141,0.025942857142857136,0.01581428571428571,-2.4575
4.32,8.88,15.2,0.2244,0.3183,-0.297,7.7623925501432645,56.91947528491882,9.424097138076661,0.18058571428571424,0.1949428571428571,-0.3490357142857142,0.07082857142857141,0.22542857142857137,0.08947142857142859,-1.5483
10.48,12.48,15.2,0.1119,0.0966,0.0748,10.49418358714044,28.45632691278759,7.550965791454928,0.0653642857142857,0.0720142857142857,0.05743571428571428,0.07569999999999996,0.04517142857142856,0.027214285714285705,-1.1201
11.12,14.96,17.36,0.0289,-0.0322,-0.0287,9.464587681604257,8.948468553761472,8.985923985362604,-0.005657142857142857,-0.052235714285714274,-0.036807142857142844,0.052999999999999985,0.031071428571428555,0.013785714285714283,-1.5252
10.96,13.68,15.12,0.1787,0.1517,0.1498,9.512146936791481,8.033714721586563,8.990474244127313,0.14383571428571426,0.1262642857142857,0.12138571428571425,0.052728571428571416,0.03370000000000001,0.04211428571428569,-1.4764
9.28,10.8,15.12,0.1988,0.2292,0.1179,7.806868951033721,9.27614144725608,9.021296939154183,0.17135714285714282,0.17562857142857138,0.08726428571428568,0.03739999999999999,0.08225714285714286,0.047757142857142845,-1.8778
7.92,11.12,15.04,-0.1277,-0.1555,-0.2426,7.340202571342985,9.364511266051096,8.625057439573567,-0.14488571428571426,-0.19101428571428566,-0.26247857142857134,0.025914285714285723,0.05662857142857142,0.03055714285714284,-1.9366
12.16,13.68,15.2,0.4125,0.1549,0.1028,10.31877724455353,8.278755922737446,9.139602441779203,0.19523571428571423,0.09339999999999997,0.058607142857142844,0.3478999999999999,0.09054285714285712,0.06815714285714283,-1.9808
6.56,11.12,15.04,0.3303,0.2794,0.2232,42.217358117816104,9.983048764948947,8.879497055108857,0.2815714285714285,0.2538571428571428,0.20342857142857138,0.08562857142857139,0.04239999999999999,0.030514285714285716,-2.1776
11.36,15.04,16.8,0.0983,-0.3975,-0.6466,9.812279169093372,6.864002729170892,8.877128876213902,0.026785714285714288,-0.4209714285714285,-0.886335714285714,0.1160285714285714,0.2873714285714285,0.3683571428571427,-3.973
8.08,9.68,11.2,0.1691,0.1622,0.1878,9.39761904761906,9.74591755263269,11.005270193733224,0.14627857142857137,0.1444785714285714,0.15429285714285712,0.036585714285714305,0.030014285714285743,0.054585714285714265,-1.9525
11.12,15.04,17.36,0.0223,-0.0442,-0.0411,8.559286537195518,9.034948224852059,9.387783115991738,-0.001707142857142855,-0.06088571428571427,-0.047971428571428554,0.03738571428571427,0.026999999999999982,0.012371428571428568,-1.847
6.48,8.0,11.12,0.1629,0.1514,0.1486,8.988101278668559,8.237502814130366,9.651752112135185,0.1481428571428571,0.13503571428571426,0.11362142857142854,0.022342857142857164,0.023528571428571413,0.056814285714285706,-4.1795
4.24,10.48,12.08,0.1519,0.0124,-0.0276,9.956781529179722,7.444184875550576,12.066682916637646,0.13237142857142853,-0.0067785714285714255,-0.04247142857142856,0.03219999999999998,0.02949999999999999,0.028599999999999993,-3.7943
2.56,4.08,14.64,0.1795,0.1645,0.337,6.846799352199104,9.04018379569078,25.30164261259253,0.1647642857142857,0.13789999999999997,0.18783571428571424,0.02141428571428569,0.04259999999999997,0.27661428571428565,-49.0265
4.08,12.4,16.88,0.2027,0.1002,0.0689,9.150769230769235,12.570807005875182,10.242112299465248,0.17852857142857137,0.0721142857142857,0.05767857142857141,0.039114285714285685,0.042028571428571415,0.019528571428571416,-13.6128
4.08,8.4,13.76,0.0844,0.0719,0.041,9.787184227572062,29.075275994865216,9.623755024707492,0.054521428571428554,0.053807142857142845,0.02512857142857142,0.04904285714285713,0.030271428571428567,0.023942857142857134,-2.2456
4.08,5.52,12.4,0.0504,0.0292,0.0458,8.287370911883158,27.50027397260275,8.415370885250397,0.02622857142857142,0.015099999999999995,0.026949999999999995,0.037371428571428555,0.02211428571428571,0.022471428571428573,-3.7311
4.24,5.76,12.32,0.0276,0.0147,-0.0069,9.968016163138113,24.59911944005418,9.506786006786001,0.006828571428571427,0.006314285714285713,-0.01778571428571428,0.032057142857142853,0.015971428571428567,0.018942857142857136,-14.4181
4.08,5.6,12.4,0.038,0.0191,0.0339,9.114335648766588,26.470437166911246,47.43652597402598,0.013442857142857138,0.007935714285714286,0.001828571428571426,0.03662857142857141,0.018128571428571424,0.05622857142857142,-51.1079
5.84,10.48,13.68,0.2615,0.2032,0.1986,56.46733532122525,9.227231916754903,10.698492979489828,0.20400714285714283,0.17458571428571423,0.1817428571428571,0.11132857142857144,0.04777142857142855,0.025914285714285723,-3.0695
10.48,13.68,15.36,-0.0169,-0.0146,0.0099,8.997973157105875,13.20430107526883,8.209208564846193,-0.05005714285714285,-0.03833571428571428,-0.01331428571428571,0.05322857142857142,0.0402142857142857,0.038114285714285705,-2.7414
4.24,10.48,13.68,0.1169,0.018,-0.0024,11.304628982807465,8.144717583261354,10.727721170952606,0.09449285714285713,-0.008764285714285712,-0.021471428571428565,0.0363,0.04247142857142856,0.03122857142857142,-3.8999
4.24,10.32,15.12,0.2864,0.1713,0.1706,42.647657426168465,8.542024292663271,8.365613049823565,0.23058571428571423,0.1425785714285714,0.14634999999999998,0.10231428571428566,0.043528571428571444,0.03487142857142855,-2.8976
10.48,13.6,15.12,0.0635,0.0812,0.1044,8.468495272089925,9.874598131041438,8.760590221550501,0.03252857142857142,0.05782142857142856,0.07387857142857142,0.05039999999999999,0.04029999999999999,0.04524285714285715,-2.0125
4.24,10.4,15.12,0.1195,0.0605,0.0339,10.196619634908316,8.6149299540714,9.177814029363788,0.09074285714285713,0.03014999999999999,-0.0005500000000000019,0.04562857142857142,0.045614285714285704,0.052671428571428563,-3.0515
4.24,10.4,13.52,0.3119,0.1651,0.1521,32.51832844574778,9.101241932272089,10.6422943319495,0.2527285714285714,0.13270714285714283,0.13594285714285712,0.1052285714285714,0.0495,0.026428571428571426,-2.088
10.4,11.92,15.04,0.064,0.0402,0.0366,8.870459285652217,12.463612872915192,9.299019260309592,0.032185714285714276,0.019292857142857136,0.011821428571428566,0.04845714285714284,0.035357142857142844,0.03829999999999999,-1.4597
4.24,10.4,15.12,0.2867,0.1301,0.1387,31.267665018900836,9.116716751918162,8.263892632059026,0.23151428571428567,0.09902857142857141,0.11720714285714282,0.09782857142857146,0.04754285714285712,0.03189999999999997,-2.4586
4.24,10.48,12.16,0.4544,0.2669,0.2534,12.054577296988182,9.347704046686204,8.993200912699976,0.3910357142857142,0.23657857142857136,0.21972857142857138,0.1052142857142857,0.048899999999999944,0.05197142857142856,-1.4749
10.48,12.08,15.12,0.094,0.0665,0.0429,8.340695343070777,9.906671012603212,9.055785607336702,0.07304999999999998,0.04878571428571427,0.020399999999999995,0.03255714285714284,0.0286,0.03385714285714285,-1.3905
10.4,12.08,15.12,0.0931,0.072,0.0693,9.014345145953115,11.438277696129902,9.162510349395603,0.06094999999999998,0.04710714285714285,0.03882857142857142,0.04872857142857141,0.04135714285714284,0.04534285714285713,-1.2403
4.24,10.32,15.04,0.3215,0.2024,0.1355,9.511482356899759,9.184088397790049,9.168123481004557,0.27147857142857135,0.1657428571428571,0.10968571428571425,0.07718571428571425,0.057914285714285696,0.0422,-1.5771
2.8,4.16,10.32,0.4396,0.4725,0.2945,7.449876008157961,12.977365898723946,8.719444444444463,0.41336428571428563,0.4132857142857142,0.2758285714285713,0.038328571428571434,0.0994571428571428,0.028400000000000036,-1.8252
7.52,8.88,10.48,0.3624,0.3852,0.3836,10.361460579918528,10.501576894024936,11.872317108661633,0.3387214285714285,0.33807857142857134,0.34002857142857135,0.03481428571428574,0.0798714285714286,0.07299999999999995,-1.8965
10.64,12.16,15.2,0.335,0.1856,0.1256,10.253369279950292,9.758365400326497,9.398539324644304,0.17740714285714282,0.1254642857142857,0.0859785714285714,0.2538999999999999,0.09987142857142853,0.06421428571428571,-1.287
2.36,11.8,15.28,0.145251,0.122905,0.058659,5.872592773149834,106.79995704159805,13.250827832591597,0.11502392857142854,0.07482049999999998,0.05426949999999999,0.04329585714285711,0.09616899999999998,0.007981000000000002,-12.2372
9.28,13.4,16.92,1.044872,1.057692,1.051282,30.001091873342375,54.0,25.000000000000227,1.0384615,1.0467034285714285,1.0480769999999997,0.012820999999999971,0.016482857142857243,0.006410000000000027,-1.5837
5.24,6.36,13.36,0.034112,-0.000935,-0.367757,13.639088360414732,24.334106240850815,10.23590391639442,0.014252071428571425,-0.003521499999999999,-0.4001334999999999,0.030374142857142846,0.005172999999999999,0.04739642857142856,-19.5964
3.32,13.96,17.72,0.247355,0.943742,0.464129,9.239167728140345,12.2400140450776,7.8749365687133945,0.21754849999999992,0.9167419285714283,0.4525162142857142,0.03793499999999997,0.054774428571428446,0.013160999999999978,-43.2441
6.68,15.52,16.6,0.60771,0.508411,0.497897,43.57081529383146,57.65600940793922,9.03352007386053,0.33192592857142855,0.3764017857142857,0.44607799999999986,0.5071758571428571,0.2540052857142857,0.06725628571428571,-6.6966
9.24,11.96,15.88,0.266323,0.149806,0.432968,71.7028087632464,10.104167945958864,27.29616343275626,0.13838699999999995,0.1439031428571428,0.3029999285714285,0.2527742857142857,0.012580571428571441,0.22587099999999993,-51.924
4.0,8.28,15.32,0.073055,0.034669,0.044006,51.254126082251084,36.94225708866995,47.916559574077496,0.06295799999999999,0.025914999999999994,0.02129271428571428,0.020193999999999997,0.017655714285714278,0.04468485714285713,-11.9091
3.88,8.32,15.36,0.07928,0.033112,0.03,41.432556260785375,28.82744279909383,68.85128251440761,0.06999807142857142,0.02714692857142857,0.004026285714285715,0.01767357142857144,0.011337857142857143,0.05165085714285712,-63.8719
3.76,8.48,15.36,0.076686,0.042709,0.042709,52.5262007968347,35.09184962691552,48.145561485002986,0.06582021428571427,0.03364957142857142,0.023738071428571424,0.02173157142857142,0.01811885714285714,0.037534142857142856,-15.9196
9.2,10.8,12.84,0.068779,0.047344,0.04548,22.8670935339818,12.809523809523796,17.745202928738195,0.056796642857142844,0.04541342857142856,0.03892271428571428,0.020503000000000007,0.0046599999999999975,0.012582000000000003,-58.6505
10.96,12.76,14.4,0.013793,0.012861,-0.013234,24.654041164008362,22.88104545106151,21.666666666666686,0.005771642857142855,0.009266142857142853,-0.01669571428571428,0.014444999999999996,0.007189714285714281,0.006657142857142853,-47.7438
2.56,5.92,11.2,-0.010661,0.021322,-0.040085,17.749975574010755,85.27826993225639,48.20587103490058,-0.015778285714285713,-0.0017971428571428583,-0.04543092857142856,0.009138285714285719,0.046238285714285704,0.010691857142857128,-17.333
