Predictions (y,pred,y-pred) by the model of dimension:     1
    0.5000000000E+01    0.4887037037E+01    0.1129629630E+00
    0.5000000000E+01    0.4887037037E+01    0.1129629630E+00
    0.5000000000E+01    0.4887037037E+01    0.1129629630E+00
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
    0.5000000000E+01    0.8887037037E+01   -0.3887037037E+01
Prediction RMSE and MaxAE:         2.4197132776        4.1129629630
