Predictions (y,pred,y-pred) by the model of dimension:     1
    0.1800000000E+02   -0.8145922044E+02    0.9945922044E+02
    0.1800000000E+02   -0.8255715407E+02    0.1005571541E+03
    0.1800000000E+02   -0.8144373214E+02    0.9944373214E+02
    0.1796000000E+02   -0.8046602386E+02    0.9842602386E+02
    0.1800000000E+02   -0.9329322539E+02    0.1112932254E+03
    0.1800000000E+02   -0.9355295129E+02    0.1115529513E+03
    0.1800000000E+02   -0.9309349929E+02    0.1110934993E+03
    0.1800000000E+02   -0.9300281460E+02    0.1110028146E+03
    0.1800000000E+02   -0.9211436523E+02    0.1101143652E+03
    0.1800000000E+02   -0.9301877047E+02    0.1110187705E+03
    0.1800000000E+02   -0.9286785824E+02    0.1108678582E+03
    0.1800000000E+02   -0.9217666507E+02    0.1101766651E+03
    0.1800000000E+02   -0.9236985545E+02    0.1103698554E+03
Prediction RMSE and MaxAE:        96.9312894721      111.5529512891
