Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.1312410000E+02   -0.1008705945E+02   -0.3037040554E+01
   -0.8796200000E+01   -0.1211019979E+02    0.3313999794E+01
   -0.1778410000E+02   -0.1401606593E+02   -0.3768034067E+01
   -0.1058300000E+02   -0.1262095311E+02    0.2037953105E+01
   -0.1049360000E+02   -0.1553601510E+02    0.5042415101E+01
   -0.1037260000E+02   -0.1303046591E+02    0.2657865908E+01
   -0.1566670000E+02   -0.1201389832E+02   -0.3652801680E+01
   -0.1290880000E+02   -0.1254376161E+02   -0.3650383890E+00
   -0.1967480000E+02   -0.1979079347E+02    0.1159934710E+00
   -0.1454070000E+02   -0.1221135323E+02   -0.2329346765E+01
   -0.1175270000E+02   -0.1216525274E+02    0.4125527377E+00
   -0.9909600000E+01   -0.1208857188E+02    0.2178971884E+01
   -0.7979400000E+01   -0.1218460756E+02    0.4205207558E+01
   -0.8704800000E+01   -0.7831895240E+01   -0.8729047603E+00
   -0.1242480000E+02   -0.1199184816E+02   -0.4329518367E+00
   -0.1095110000E+02   -0.1171976013E+02    0.7686601274E+00
   -0.1078520000E+02   -0.8627046175E+01   -0.2158153825E+01
   -0.1367580000E+02   -0.1080885560E+02   -0.2866944399E+01
Prediction RMSE and MaxAE:         4.1196121658        9.9794535730
