Predictions (y,pred,y-pred) by the model of dimension:     1
    0.4990000000E+01    0.4128289155E+01    0.8617108450E+00
    0.5000000000E+01    0.3311293243E+01    0.1688706757E+01
    0.5000000000E+01    0.4955143906E+01    0.4485609447E-01
    0.3510000000E+01    0.4341815911E+01   -0.8318159105E+00
    0.5000000000E+01    0.4690455296E+01    0.3095447036E+00
    0.5000000000E+01    0.4018234450E+01    0.9817655503E+00
    0.0000000000E+00    0.3593895369E+01   -0.3593895369E+01
    0.0000000000E+00    0.4018124547E-01   -0.4018124547E-01
    0.0000000000E+00    0.1790536769E+01   -0.1790536769E+01
    0.5000000000E+01    0.4391750710E+01    0.6082492895E+00
    0.5000000000E+01    0.3663210144E+01    0.1336789856E+01
    0.5000000000E+01    0.2194055092E+01    0.2805944908E+01
    0.2070000000E+01    0.2689504077E+01   -0.6195040766E+00
Prediction RMSE and MaxAE:         1.2903748867        3.5938953694
