1.304,7.576,21.45411204,1234.93,107.87,47,0.1445,0.145,11,5,11,1,0,10,1.93,1.83,25.35,429,4.64,10.5,11.3,18.005,2435.15
0.4328,5.986,18.8288335,933.47,26.9815386,13,0.1432,0.121,13,3,3,2,1,0,1.61,1.37,24.2,237,4.19,2.7,10.79,16.472,2792.15
2.309,9.226,20.52132456,1337.33,196.97,79,0.1442,0.136,11,6,11,1,0,10,2.54,2.33,25.418,317,5.32,19.3,12.55,18.145,3129.15
0.28,8.298,25.15520547,2349.15,10.81,5,0.082,0.084,13,2,3,2,1,0,2.04,1.77,11.087,27,4.75,2.34,50.2,86.991,4200.15
0.145,5.212,10.00362751,1000.15,137.33,56,0.2176,0.215,2,6,2,2,0,0,0.89,1.17,28.07,18.4,2.35,3.62,7.75,63.643,2170.15
-0.5,9.322,18.2111209,1560.15,9.0122,4,0.1128,0.096,2,2,2,2,0,0,1.57,2.01,16.443,200,5.08,1.85,12.2,15.788,2742.15
1.262,11.26,24.38306473,3823.15,12.0107,6,0.0773,0.076,14,2,4,2,2,0,2.55,2.51,8.517,129,5,2.2,117,45.803,4300.15
0.025,6.113,11.87127533,1115.15,40.078,20,0.1976,0.176,2,4,2,2,0,0,1,1.32,25.929,200,2.71,1.54,8.54,41.692,1757.15
0.57,5.539,10.8825206,1068.15,140.116,58,0.1825,0.204,3,6,3,2,0,1,1.12,1.31,26.94,11.4,2.8,6.77,5.46,26.296,3716.15
0.662,7.881,17.08037519,1768.15,58.933195,27,0.1251,0.126,9,4,9,2,0,7,1.88,1.77,24.81,100,4.7,8.86,16.19,21.845,3200.15
0.676,6.766,16.48546406,2180.15,51.9961,24,0.1249,0.139,6,4,6,1,0,5,1.66,1.56,23.35,93.7,4.4,7.15,16.9,11.57,2944.15
1.236,7.726,20.29227341,1357.77,63.546,29,0.1278,0.132,11,4,11,1,0,10,1.9,1.85,24.44,401,4.7,8.96,13.05,11.872,2835.15
0.352,5.939,11.71166503,1680.15,162.5,66,0.1774,0.192,3,6,3,2,0,1,1.22,1.35,27.7,10.7,2.75,8.55,11.06,94.724,2840.15
0.312,6.101,11.91895113,1802.15,167.26,68,0.1756,0.189,3,6,3,2,0,1,1.24,1.37,28.12,14.3,2.84,9.07,19.9,61.805,3503.15
0.153,7.903,16.1880085,1811.15,55.845,26,0.1241,0.132,8,4,8,2,0,6,1.83,1.68,25.1,80.2,4.65,7.87,13.8,11.552,3134.15
0.43,5.999,20.51406954,302.9146,69.723,31,0.1392,0.122,13,4,3,2,1,0,1.81,1.37,25.86,40.6,4.25,5.91,5.59,80.645,2477.15
0.137,6.15,12.12623724,1585.15,157.25,64,0.1801,0.196,3,6,3,2,0,1,1.2,1.35,37.03,10.6,5.1,7.9,10.05,66.663,3546.15
1.233,7.899,15.93511945,1211.4,72.63,32,0.124,0.12,14,4,4,2,2,0,2.01,1.88,23.222,59.9,5,5.32,36.94,47.847,3106.15
0.178,6.825,14.92459968,2506.15,178.49,72,0.1578,0.175,4,6,4,2,0,2,1.3,1.48,25.73,23,3.51,13.3,24.06,44.965,4876.15
0.338,6.022,11.81530808,1734.15,164.93032,67,0.1766,0.192,3,6,3,2,0,1,1.23,1.36,27.15,16.2,2.9,8.8,12.2,62.905,2993.15
0.384,5.786,18.87029072,429.75,114.82,49,0.1659,0.142,13,5,3,2,1,0,1.78,1.32,26.74,81.6,4.08,5.77,3.263,27.478,2345.15
1.564,8.967,16.58288853,2719.15,192.22,77,0.1357,0.141,9,6,9,2,0,7,2.2,2.14,25.1,147,5.6,22.5,26.1,14.555,4701.15
0.55,5.577,11.05871379,1193.15,138.91,57,0.1879,0.207,3,6,3,2,0,1,1.1,1.32,27.11,13.5,3.4,6.15,6.2,148.598,3737.15
0.618,5.392,75.63973675,453.69,6.94,3,0.1519,0.128,1,2,1,1,0,0,0.98,1.29,24.86,84.7,3.1,0.534,3,20.121,1615.15
0.239,5.426,13.88816915,1925.15,174.97,71,0.1735,0.187,3,6,3,2,0,1,1.27,1.23,26.86,16.4,3.01,9.84,18.6,58.863,3675.15
