27.00,-10.00,0.00,-31.00,50.00,-7.00,-61.00,38.00,15.00,-4.00,0.00,12.00,9.00,8.00,-1.00,-1.00,11.00,-18.50,-9.00,10.00,20.00,-18.00,17.00,35.00,5.00,24.00,2.00,0.00,-7.00,13.00,-7.00,-49.50,28.00,-15.00,13.00,-24.00,-13.00,-12.00,7.00,1.00,-37.00,11.00,10.00,47.00,-7.00,9.00,-7.00,8.00,-3.00,-2.00,1.00,11.00,37.00,5.00,-12.00
2.00,-1.00,-9.00,0.00,-9.00,0.00,-33.00,-13.00,-21.00,6.00,12.00,0.00,-22.00,-23.00,13.00,1.00,-22.00,-11.50,-17.00,-22.00,10.00,0.00,-21.00,-5.00,-24.00,-3.00,4.00,19.00,3.00,-22.00,4.00,-17.50,15.00,-14.00,-22.00,-12.00,-2.00,7.00,7.00,-24.00,-19.00,-22.00,7.00,-9.00,2.00,-23.00,-9.00,-23.00,-7.00,5.00,22.00,-22.00,-12.00,1.00,-23.00
-29.00,-38.00,-74.00,-51.00,21.00,-32.00,-117.00,12.00,0.00,-23.00,9.00,-22.00,0.00,0.00,-3.00,-40.00,0.00,-71.50,10.00,0.00,-35.00,-55.00,0.00,9.00,0.00,-6.00,-3.00,22.00,27.00,0.00,-32.00,-112.50,-46.00,-84.00,0.00,-84.00,-55.00,-35.00,-67.00,1.00,-74.00,0.00,-50.00,18.00,25.00,0.00,14.00,0.00,9.00,15.00,21.00,0.00,11.00,-31.00,8.00
-29.00,-38.00,-74.00,-52.00,22.00,-33.00,-118.00,13.00,0.00,-24.00,8.00,-23.00,0.00,0.00,-5.00,-40.00,0.00,-71.50,9.00,0.00,-34.00,-56.00,1.00,9.00,0.00,-5.00,-4.00,20.00,26.00,0.00,-34.00,-113.50,-45.00,-85.00,0.00,-86.00,-57.00,-37.00,-66.00,0.00,-74.00,0.00,-49.00,20.00,23.00,0.00,13.00,0.00,8.00,14.00,19.00,0.00,12.00,-31.00,7.00
28.00,-11.00,8.00,-26.00,37.00,-4.00,-50.00,25.00,3.00,-1.00,-1.00,13.00,-3.00,-5.00,0.00,-2.00,-1.00,-15.50,-21.00,-2.00,19.00,-9.00,5.00,26.00,-7.00,18.00,0.00,-2.00,-16.00,1.00,-2.00,-39.50,29.00,-4.00,1.00,-13.00,-5.00,-5.00,10.00,-11.00,-35.00,-1.00,11.00,34.00,-15.00,-3.00,-17.00,-5.00,-11.00,-7.00,0.00,-1.00,25.00,4.00,-25.00
-5.00,1.00,-19.00,6.00,-30.00,5.00,-33.00,-28.00,-41.00,-11.00,-1.00,1.00,-40.00,-40.00,-2.00,0.00,-40.00,-15.50,-34.00,-39.00,3.00,-21.00,-41.00,-9.00,-40.00,-4.00,-13.00,7.00,-8.00,-40.00,-15.00,-18.50,5.00,-42.00,-41.00,-38.00,-25.00,-11.00,-1.00,-38.00,-17.00,-40.00,1.00,-27.00,-10.00,-40.00,-23.00,-39.00,-25.00,-8.00,11.00,-40.00,-27.00,0.00,-40.00
-29.00,-39.00,-74.00,-50.00,20.00,-32.00,-117.00,11.00,0.00,-22.00,11.00,-22.00,0.00,0.00,-1.00,-40.00,0.00,-72.50,11.00,0.00,-36.00,-53.00,0.00,8.00,0.00,-6.00,-1.00,24.00,30.00,0.00,-31.00,-113.50,-48.00,-84.00,0.00,-83.00,-54.00,-34.00,-68.00,1.00,-73.00,0.00,-51.00,17.00,27.00,0.00,15.00,0.00,11.00,17.00,24.00,0.00,10.00,-31.00,9.00
-17.50,-14.50,-21.50,-0.50,-63.50,-3.50,-29.50,-59.50,-73.50,-21.50,-18.50,-11.50,-71.50,-71.50,-15.50,-15.50,-72.50,0.00,-65.50,-71.50,-13.50,-24.50,-73.50,-34.50,-71.50,-26.50,-31.50,-13.50,-36.50,-101.50,-23.50,-17.00,-7.50,-43.50,-72.50,-37.50,-29.50,-18.50,-10.50,-69.50,-14.50,-72.50,-12.50,-59.50,-37.50,-72.50,-51.50,-71.50,-52.50,-31.50,-7.50,-72.50,-58.50,-15.50,-72.50
-13.00,-39.00,-63.00,-66.00,54.00,-37.00,-123.00,39.00,14.00,-35.00,-9.00,-17.00,10.00,9.00,-21.00,-34.00,11.00,-65.50,0.00,10.00,-18.00,-68.00,15.00,30.00,8.00,10.00,-12.00,-4.00,4.00,13.00,-42.00,-117.50,-23.00,-80.00,13.00,-90.00,-63.00,-52.00,-50.00,5.00,-77.00,11.00,-35.00,50.00,3.00,10.00,0.00,9.00,-2.00,-2.00,-6.00,11.00,38.00,-24.00,0.00
-29.00,-38.00,-72.00,-50.00,20.00,-32.00,-116.00,11.00,0.00,-22.00,10.00,-22.00,0.00,0.00,-2.00,-39.00,0.00,-71.50,10.00,0.00,-35.00,-53.00,0.00,8.00,0.00,-6.00,-2.00,22.00,28.00,0.00,-31.00,-111.50,-46.00,-83.00,0.00,-83.00,-54.00,-34.00,66.00,1.00,-73.00,0.00,-49.00,18.00,26.00,0.00,14.00,0.00,10.00,16.00,22.00,0.00,11.00,-30.00,9.00
-2.00,7.00,-11.00,18.00,-42.00,16.00,-27.00,-35.00,-38.00,7.00,20.00,10.00,-35.00,-34.00,19.00,3.00,-36.00,-13.50,-18.00,-35.00,0.00,0.00,-39.00,-12.00,-34.00,-4.00,3.00,33.00,15.00,-37.00,2.00,-10.50,-1.00,-31.00,-37.00,-21.00,-8.00,10.00,-4.00,-30.00,-10.00,-36.00,0.00,-37.00,13.00,-35.00,-5.00,-34.00,-7.00,12.00,38.00,-36.00,-34.00,3.00,-25.00
